Location,Fuel Type,bt,km,Transmission,ownerNo,oem,model,modelYear,Displacement,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Location_encode,Fuel Type_encode,bt_encode,Transmission_encode,oem_encode,model_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Delhi,Petrol,Hatchback,54235,Manual,2,Maruti,Maruti Ritz,2014,1197,Third Party,4.0,Grey,4.0,K Series Petrol Engine,5,18.5,114.0,1.0438040521731147,85.8,2,4,2,1,19,152,4,55,260
Delhi,Petrol,Hatchback,52777,Automatic,1,Maruti,Maruti Ignis,2018,1197,Zero Dep,4.0,Silver,4.0,1.2-Litre VVT Petrol Engine,5,20.89,113.0,1.6486586255873816,81.8,2,4,2,0,19,149,6,108,47
Delhi,Petrol,Hatchback,26000,Manual,1,Hyundai,Hyundai i20,2018,1197,Comprehensive,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,18.6,114.7,1.7749523509116738,81.83,2,4,2,1,8,81,2,108,291
Delhi,Petrol,Sedan,77937,Manual,1,Skoda,Skoda Rapid,2018,1598,Third Party,4.0,White,4.0,Petrol Engine,5,15.41,153.0,1.8794650496471605,103.2,2,4,8,1,26,217,4,129,311
Delhi,Petrol,Sedan,40663,Manual,1,Tata,Tata Tigor,2021,1199,Zero Dep,3.0,Silver,4.0,1.2L Revotron Engine,5,19.28,113.0,1.944480556245719,84.82,2,4,8,1,27,240,6,108,52
Delhi,Petrol,Hatchback,40000,Manual,1,Hyundai,Hyundai Grand i10,2015,1197,Comprehensive,4.0,Blue,4.0,Kappa VTVT Petrol Engine,5,18.9,114.0,1.3737155789130306,82.0,2,4,2,1,8,70,2,9,291
Delhi,Petrol,Sedan,115500,Manual,1,Toyota,Toyota Etios,2011,1496,Comprehensive,4.0,Silver,4.0,"2NR-FE ,Gasoline, 4 Cylin",5,17.6,132.0,0.7747271675523681,88.7,2,4,8,1,28,245,2,108,143
Delhi,Petrol,Sedan,67000,Automatic,1,Skoda,Skoda Superb,2015,1798,Comprehensive,4.0,Silver,4.0,Petrol Engine,5,13.7,250.0,2.2407096892759584,157.75,2,4,8,0,26,219,2,108,311
Delhi,Petrol,SUV,16312,Manual,1,Hyundai,Hyundai Creta,2016,1591,Third Party,4.0,Silver,4.0,VTVT Petrol Engine,5,13.0,151.0,2.182674796321488,121.3,2,4,7,1,8,66,4,108,410
Delhi,Petrol,Sedan,60000,Manual,2,Maruti,Maruti Swift Dzire,2016,1197,Third Party insurance,4.0,Others,4.0,K Series VVT Engine,5,20.85,115.0,1.5686159179138452,83.14,2,4,8,1,19,157,5,83,262
Delhi,Petrol,MUV,90000,Manual,1,Honda,Honda Mobilio,2014,1497,Third Party insurance,4.0,Others,4.0,i-VTEC Engine,7,17.3,145.0,1.4469189829363254,117.3,2,4,4,1,7,60,5,83,435
Delhi,CNG,Hatchback,67000,Manual,1,Hyundai,Hyundai Grand i10,2018,1197,Comprehensive,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,18.9,98.0,1.599387576580599,65.39,2,0,2,1,8,70,2,108,291
Delhi,Petrol,Sedan,80000,Manual,2,Maruti,Maruti Ciaz,2015,1373,Third Party insurance,4.0,Others,4.0,k14B VVT Engine,5,20.73,130.0,1.7047480922384253,91.1,2,4,8,1,19,142,5,83,438
Delhi,Petrol,Hatchback,60000,Manual,1,Hyundai,Hyundai i10,2011,1086,Third Party insurance,4.0,Others,3.0,IRDE2 Engine,5,19.81,99.04,0.3148107398400336,68.05,2,4,2,1,8,80,5,83,236
Delhi,Petrol,Sedan,34253,Automatic,1,Honda,Honda City,2015,1497,Comprehensive,4.0,Maroon,4.0,i VTEC Engine,5,18.0,145.0,1.7316555451583497,117.3,2,4,8,0,7,56,2,62,429
Delhi,Petrol,SUV,27000,Automatic,1,Kia,Kia Seltos,2019,1497,Comprehensive,4.0,White,4.0,Smartstream G1.5,5,16.8,144.0,2.5572273113676265,113.42,2,4,7,0,12,97,2,129,340
Delhi,Petrol,Hatchback,64000,Automatic,2,Maruti,Maruti Celerio,2017,998,Comprehensive,3.0,Grey,4.0,K10B Engine,5,23.1,90.0,1.2669476034873244,67.04,2,4,2,0,19,140,2,55,264
Delhi,Petrol,Sedan,67827,Manual,1,Hyundai,Hyundai Xcent,2015,1197,Third Party,4.0,White,4.0,Kappa VTVT Petrol Engine,5,19.1,114.0,1.3506671834767394,82.0,2,4,8,1,8,79,4,129,291
Delhi,Petrol,Hatchback,79094,Manual,1,Maruti,Maruti Baleno,2018,1197,Zero Dep,4.0,Others,4.0,VVT Petrol Engine,5,21.4,115.0,1.6370530794670737,83.1,2,4,2,1,19,137,6,83,415
Delhi,Petrol,Sedan,64589,Manual,2,Hyundai,Hyundai Verna,2012,1591,Third Party,4.0,Grey,4.0,VTVT Petrol Engine,5,17.01,154.9,1.1786549963416462,121.3,2,4,8,1,8,78,4,55,410
Delhi,Petrol,Hatchback,88309,Manual,1,Hyundai,Hyundai i20 Active,2015,1197,Comprehensive,4.0,Silver,4.0,VTVT Petrol Engine,5,17.19,114.73,1.6253112615903906,81.86,2,4,2,1,8,82,2,108,410
Delhi,Petrol,Hatchback,66688,Manual,2,Maruti,Maruti Swift,2018,1197,Comprehensive,4.0,Silver,4.0,K Series Dual jet,5,22.38,113.0,1.7351891177396608,88.5,2,4,2,1,19,156,2,108,258
Delhi,Petrol,Hatchback,20000,Manual,1,Maruti,Maruti Baleno,2022,1197,Third Party insurance,4.0,Black,4.0,1.2L VVT Engine,5,21.01,113.0,1.9021075263969205,81.8,2,4,2,1,19,137,5,8,55
Delhi,Petrol,Sedan,60653,Automatic,1,Maruti,Maruti Ciaz,2018,1462,Third Party,4.0,Silver,4.0,k15B VVT Engine,5,20.28,138.0,2.028148247292285,103.25,2,4,8,0,19,142,4,108,439
Delhi,Diesel,MUV,70000,Automatic,1,Kia,Kia Carnival,2022,2199,Third Party insurance,4.0,White,4.0,D2.2L VGT Diesel,7,14.11,440.0,3.5115454388310208,197.26,2,1,4,0,12,96,5,129,183
Delhi,Petrol,Hatchback,86527,Manual,1,Hyundai,Hyundai Grand i10,2017,1197,Zero Dep,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,18.9,113.75,1.3812818192963463,81.86,2,4,2,1,8,70,6,108,291
Delhi,Petrol,Sedan,67000,Manual,1,Honda,Honda Amaze,2017,1199,Comprehensive,4.0,White,4.0,i-VTEC Petrol Engine,5,19.5,110.0,1.5789787049493917,88.76,2,4,8,1,7,52,2,129,436
Delhi,Petrol,Hatchback,70000,Manual,3,Honda,Honda Jazz,2009,1198,Third Party insurance,4.0,Others,4.0,SOHC i-VTEC,5,16.0,110.0,0.30010459245033816,90.0,2,4,2,1,7,59,5,83,332
Delhi,Petrol,SUV,70000,Automatic,3,Ford,Ford Ecosport,2013,1499,Third Party insurance,4.0,Red,4.0,Ti-VCT Petrol Engine,5,16.5,140.0,1.0986122886681098,110.0,2,4,7,0,6,45,5,105,360
Delhi,Petrol,Sedan,70311,Manual,1,Honda,Honda Amaze,2018,1199,Third Party insurance,4.0,Golden Brown,4.0,i-VTEC Petrol Engine,5,18.6,110.0,1.6582280766035324,88.76,2,4,8,1,7,52,5,50,436
